node_id,name,type,attrs_json
62,Anti-Gravity Press,Exercise,"{""source_id"": ""Anti-Gravity_Press"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
63,Barbell,Equipment,{}
64,Arm Circles,Exercise,"{""source_id"": ""Arm_Circles"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
65,Arnold Dumbbell Press,Exercise,"{""source_id"": ""Arnold_Dumbbell_Press"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
66,Around The Worlds,Exercise,"{""source_id"": ""Around_The_Worlds"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
67,Atlas Stone Trainer,Exercise,"{""source_id"": ""Atlas_Stone_Trainer"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
68,Power,ExerciseType,{}
69,Atlas Stones,Exercise,"{""source_id"": ""Atlas_Stones"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""expert"", ""curated"": false}"
70,Axle Deadlift,Exercise,"{""source_id"": ""Axle_Deadlift"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
71,Back Flyes - With Bands,Exercise,"{""source_id"": ""Back_Flyes_-_With_Bands"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
72,Bands,Equipment,{}
73,Backward Drag,Exercise,"{""source_id"": ""Backward_Drag"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
74,Backward Medicine Ball Throw,Exercise,"{""source_id"": ""Backward_Medicine_Ball_Throw"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
75,Medicine Ball,Equipment,{}
76,Balance Board,Exercise,"{""source_id"": ""Balance_Board"", ""force"": null, ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
77,Ball Leg Curl,Exercise,"{""source_id"": ""Ball_Leg_Curl"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
78,Exercise Ball,Equipment,{}
79,Band Assisted Pull-Up,Exercise,"{""source_id"": ""Band_Assisted_Pull-Up"", ""force"": null, ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
80,Band Good Morning,Exercise,"{""source_id"": ""Band_Good_Morning"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
81,Band Good Morning (Pull Through),Exercise,"{""source_id"": ""Band_Good_Morning_Pull_Through"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
82,Band Hip Adductions,Exercise,"{""source_id"": ""Band_Hip_Adductions"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
83,Band Pull Apart,Exercise,"{""source_id"": ""Band_Pull_Apart"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
84,Band Skull Crusher,Exercise,"{""source_id"": ""Band_Skull_Crusher"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
85,Barbell Ab Rollout,Exercise,"{""source_id"": ""Barbell_Ab_Rollout"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
86,Barbell Ab Rollout - On Knees,Exercise,"{""source_id"": ""Barbell_Ab_Rollout_-_On_Knees"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""expert"", ""curated"": false}"
87,Barbell Bench Press - Medium Grip,Exercise,"{""source_id"": ""Barbell_Bench_Press_-_Medium_Grip"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
88,Barbell Curl,Exercise,"{""source_id"": ""Barbell_Curl"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
89,Barbell Curls Lying Against An Incline,Exercise,"{""source_id"": ""Barbell_Curls_Lying_Against_An_Incline"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
90,Barbell Deadlift,Exercise,"{""source_id"": ""Barbell_Deadlift"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
91,Barbell Full Squat,Exercise,"{""source_id"": ""Barbell_Full_Squat"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
92,Barbell Glute Bridge,Exercise,"{""source_id"": ""Barbell_Glute_Bridge"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
93,Barbell Guillotine Bench Press,Exercise,"{""source_id"": ""Barbell_Guillotine_Bench_Press"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
94,Barbell Hack Squat,Exercise,"{""source_id"": ""Barbell_Hack_Squat"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
95,Barbell Hip Thrust,Exercise,"{""source_id"": ""Barbell_Hip_Thrust"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
