node_id,name,type,attrs_json
73,Calf Raise,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
74,Pistol Squat,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
75,Box Jump,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Cardio"", ""intensity"": ""High"", ""goals"": [""Fat Loss""]}"
76,Barbell Bench Press,Exercise,"{""primary_muscles"": [""Chest"", ""Triceps"", ""Deltoids Anterior""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
77,Dumbbell Bench Press,Exercise,"{""primary_muscles"": [""Chest"", ""Triceps""], ""equipment"": ""Dumbbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
78,Incline Bench Press,Exercise,"{""primary_muscles"": [""Chest"", ""Deltoids Anterior""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
79,Decline Bench Press,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
80,Push Up,Exercise,"{""primary_muscles"": [""Chest"", ""Triceps"", ""Deltoids Anterior""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
81,Dips,Exercise,"{""primary_muscles"": [""Triceps""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
82,Dumbbell Fly,Exercise,"{""primary_muscles"": [""Chest""], ""equipment"": ""Dumbbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Hypertrophy""]}"
83,Cable Fly,Exercise,"{""primary_muscles"": [""Chest""], ""equipment"": ""Cable Machine"", ""exercise_type"": ""Stability"", ""intensity"": ""Moderate"", ""goals"": [""Hypertrophy""]}"
84,Pec Deck,Exercise,"{""primary_muscles"": [""Chest""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
85,Landmine Press,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
86,Floor Press,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
87,Svend Press,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
88,Medicine Ball Chest Pass,Exercise,"{""primary_muscles"": [""Chest""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
89,Single Arm Dumbbell Press,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
90,Archer Push-Up,Exercise,"{""primary_muscles"": [""Chest""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
